Species1,Species3,Match.type
Aglaeactis castelnaudii,Aglaeactis castelnaudii,1BL to 1BT
Aglaeactis cupripennis,Aglaeactis cupripennis,1BL to 1BT
Aglaeactis pamela,Aglaeactis pamela,1BL to 1BT
Aglaiocercus berlepschi,Aglaiocercus berlepschi,1BL to 1BT
Aglaiocercus coelestis,Aglaiocercus coelestis,1BL to 1BT
Aglaiocercus kingii,Aglaiocercus kingi,1BL to 1BT
Agraphospiza rubescens,Carpodacus rubescens,1BL to 1BT
Agricola infuscatus,Bradornis infuscatus,1BL to 1BT
Agricola pallidus,Bradornis pallidus,1BL to 1BT
Agriornis albicauda,Agriornis albicauda,1BL to 1BT
Agriornis lividus,Agriornis lividus,1BL to 1BT
Agriornis micropterus,Agriornis micropterus,1BL to 1BT
Agriornis montanus,Agriornis montanus,1BL to 1BT
Agriornis murinus,Agriornis murinus,1BL to 1BT
Agropsar philippensis,Sturnus philippensis,1BL to 1BT
Agropsar sturninus,Sturnus sturninus,1BL to 1BT
Ailuroedus buccoides,Ailuroedus buccoides,1BL to 1BT
Ailuroedus crassirostris,Ailuroedus crassirostris,1BL to 1BT
Ailuroedus melanotis,Ailuroedus melanotis,1BL to 1BT
Aimophila notosticta,Aimophila notosticta,1BL to 1BT
Aimophila rufescens,Aimophila rufescens,1BL to 1BT
Aimophila ruficeps,Aimophila ruficeps,1BL to 1BT
Aix galericulata,Aix galericulata,1BL to 1BT
Aix sponsa,Aix sponsa,1BL to 1BT
Akialoa ellisiana,NA ,Extinct
Akialoa lanaiensis,NA ,Extinct
Akialoa obscura,NA ,Extinct
Akialoa stejnegeri,NA ,Extinct
Akletos goeldii,Myrmeciza goeldii,1BL to 1BT
Akletos melanoceps,Myrmeciza melanoceps,1BL to 1BT
Alaemon alaudipes,Alaemon alaudipes,1BL to 1BT
Alaemon hamertoni,Alaemon hamertoni,1BL to 1BT
Alauda gulgula,Alauda gulgula,1BL to 1BT
Alauda leucoptera,Melanocorypha leucoptera,1BL to 1BT
Alauda razae,Alauda razae,1BL to 1BT
Alaudala raytal,Calandrella raytal,1BL to 1BT
Alaudala somalica,Calandrella somalica,1BL to 1BT
Alca torda,Alca torda,1BL to 1BT
Alcedo atthis,Alcedo atthis,1BL to 1BT
Alcedo coerulescens,Alcedo coerulescens,1BL to 1BT
Alcedo euryzona,Alcedo euryzona,Many BL to 1BT
Alcedo hercules,Alcedo hercules,1BL to 1BT
Alcedo meninting,Alcedo meninting,1BL to 1BT
Alcedo peninsulae,Alcedo euryzona,Many BL to 1BT
Alcedo quadribrachys,Alcedo quadribrachys,1BL to 1BT
Alcedo semitorquata,Alcedo semitorquata,1BL to 1BT
Alcippe brunneicauda,Alcippe brunneicauda,1BL to 1BT
Alcippe grotei,Alcippe grotei,1BL to 1BT
Alcippe morrisonia,Alcippe morrisonia,1BL to 1BT
Alcippe nipalensis,Alcippe nipalensis,1BL to 1BT
Alcippe peracensis,Alcippe peracensis,1BL to 1BT
Alcippe poioicephala,Alcippe poioicephala,1BL to 1BT
Alcippe pyrrhoptera,Alcippe pyrrhoptera,1BL to 1BT
Alcurus striatus,Pycnonotus striatus,1BL to 1BT
Aleadryas rufinucha,Aleadryas rufinucha,1BL to 1BT
Alectoris barbara,Alectoris barbara,1BL to 1BT
Alectoris chukar,Alectoris chukar,1BL to 1BT
Alectoris graeca,Alectoris graeca,1BL to 1BT
Alectoris magna,Alectoris magna,1BL to 1BT
Alectoris melanocephala,Alectoris melanocephala,1BL to 1BT
Alectoris philbyi,Alectoris philbyi,1BL to 1BT
Alectoris rufa,Alectoris rufa,1BL to 1BT
Alectroenas madagascariensis,Alectroenas madagascariensis,1BL to 1BT
Alectroenas nitidissimus,NA ,Extinct
Alectroenas payandeei,NA ,Extinct
Alectroenas pulcherrimus,Alectroenas pulcherrima,1BL to 1BT
Alectroenas sganzini,Alectroenas sganzini,1BL to 1BT
Alectrurus risora,Alectrurus risora,1BL to 1BT
Alectrurus tricolor,Alectrurus tricolor,1BL to 1BT
Alectura lathami,Alectura lathami,1BL to 1BT
Alethe castanea,Alethe diademata,Many BL to 1BT
Alethe diademata,Alethe diademata,Many BL to 1BT
Alexandrinus eques,Psittacula eques,1BL to 1BT
Alexandrinus exsul,NA ,Extinct
Alexandrinus krameri,Psittacula krameri,1BL to 1BT
Alipiopsitta xanthops,Alipiopsitta xanthops,1BL to 1BT
