Species1,Species3,Match.type
Ketupa ketupu,Ketupa ketupu,1BL to 1BT
Ketupa zeylonensis,Ketupa zeylonensis,1BL to 1BT
Kittacincla albiventris,Copsychus malabaricus,1BL to 1BT
Kittacincla cebuensis,Copsychus cebuensis,1BL to 1BT
Kittacincla luzoniensis,Copsychus luzoniensis,Many BL to 1BT
Acrocephalus scirpaceus,Acrocephalus scirpaceus,1BL to many BT
Alauda arvensis,Alauda arvensis,1BL to many BT
Kittacincla nigra,Copsychus niger,1BL to 1BT
Kittacincla superciliaris,Copsychus luzoniensis,Many BL to 1BT
Klais guimeti,Klais guimeti,1BL to 1BT
Kleinothraupis atropileus,Hemispingus atropileus,1BL to 1BT
Kleinothraupis auricularis,Hemispingus auricularis,1BL to 1BT
Kleinothraupis calophrys,Hemispingus calophrys,1BL to 1BT
Kleinothraupis parodii,Hemispingus parodii,1BL to 1BT
Kleinothraupis reyi,Hemispingus reyi,1BL to 1BT
Knipolegus aterrimus,Knipolegus aterrimus,Many BL to 1BT
Knipolegus cabanisi,Knipolegus signatus,Many BL to 1BT
Knipolegus cyanirostris,Knipolegus cyanirostris,1BL to 1BT
Knipolegus franciscanus,Knipolegus franciscanus,1BL to 1BT
Knipolegus heterogyna,Knipolegus aterrimus,Many BL to 1BT
Knipolegus hudsoni,Knipolegus hudsoni,1BL to 1BT
Knipolegus lophotes,Knipolegus lophotes,1BL to 1BT
Knipolegus nigerrimus,Knipolegus nigerrimus,1BL to 1BT
Knipolegus orenocensis,Knipolegus orenocensis,Many BL to 1BT
Knipolegus poecilocercus,Knipolegus poecilocercus,1BL to 1BT
Knipolegus poecilurus,Knipolegus poecilurus,1BL to 1BT
Knipolegus sclateri,Knipolegus orenocensis,Many BL to 1BT
Knipolegus signatus,Knipolegus signatus,Many BL to 1BT
Knipolegus striaticeps,Knipolegus striaticeps,1BL to 1BT
Kupeornis chapini,Kupeornis chapini,1BL to 1BT
Kupeornis gilberti,Kupeornis gilberti,1BL to 1BT
Kupeornis rufocinctus,Kupeornis rufocinctus,1BL to 1BT
Kurochkinegramma hypogrammica,Hypogramma hypogrammicum,1BL to 1BT
Lacedo melanops,Lacedo pulchella,Many BL to 1BT
Lacedo pulchella,Lacedo pulchella,Many BL to 1BT
Lafresnaya lafresnayi,Lafresnaya lafresnayi,1BL to 1BT
Lagonosticta larvata,Lagonosticta larvata,Many BL to 1BT
Lagonosticta nigricollis,Lagonosticta larvata,Many BL to 1BT
Lagonosticta nitidula,Lagonosticta nitidula,1BL to 1BT
Lagonosticta rara,Lagonosticta rara,1BL to 1BT
Lagonosticta rhodopareia,Lagonosticta rhodopareia,1BL to 1BT
Amaurospiza moesta,Amaurospiza moesta,1BL to many BT
Aphelocoma californica,Aphelocoma californica,1BL to many BT
Lagonosticta rufopicta,Lagonosticta rufopicta,1BL to 1BT
Lagonosticta sanguinodorsalis,Lagonosticta sanguinodorsalis,1BL to 1BT
Lagonosticta senegala,Lagonosticta senegala,1BL to 1BT
Lagonosticta umbrinodorsalis,Lagonosticta umbrinodorsalis,1BL to 1BT
Lagonosticta vinacea,Lagonosticta larvata,Many BL to 1BT
Lagonosticta virata,Lagonosticta virata,1BL to 1BT
Lagopus lagopus,Lagopus lagopus,1BL to 1BT
Lagopus leucura,Lagopus leucura,1BL to 1BT
Lagopus muta,Lagopus muta,1BL to 1BT
Lalage atrovirens,Lalage atrovirens,Many BL to 1BT
Lalage aurea,Lalage aurea,1BL to 1BT
Lalage conjuncta,Lalage leucomela,Many BL to 1BT
Lalage fimbriata,Coracina fimbriata,1BL to 1BT
Lalage leucomela,Lalage leucomela,Many BL to 1BT
Lalage leucoptera,Lalage atrovirens,Many BL to 1BT
Lalage leucopyga,Lalage leucopyga,1BL to 1BT
Lalage leucopygialis,Lalage leucopygialis,1BL to 1BT
Lalage maculosa,Lalage maculosa,1BL to 1BT
Lalage melanoleuca,Lalage melanoleuca,Many BL to 1BT
Lalage melanoptera,Coracina melanoptera,1BL to 1BT
Lalage melaschistos,Coracina melaschistos,1BL to 1BT
Lalage minor,Lalage melanoleuca,Many BL to 1BT
Lalage moesta,Lalage moesta,1BL to 1BT
Lalage newtoni,Coracina newtoni,1BL to 1BT
Lalage nigra,Lalage nigra,1BL to 1BT
Lalage polioptera,Coracina polioptera,1BL to 1BT
Lalage sharpei,Lalage sharpei,1BL to 1BT
Lalage sueurii,Lalage sueurii,1BL to 1BT
Lalage tricolor,Lalage tricolor,1BL to 1BT
Lalage typica,Coracina typica,1BL to 1BT
Lampornis amethystinus,Lampornis amethystinus,1BL to 1BT
Lampornis calolaemus,Lampornis calolaemus,1BL to 1BT
Lampornis castaneoventris,Lampornis castaneoventris,Many BL to 1BT
Lampornis cinereicauda,Lampornis castaneoventris,Many BL to 1BT
Lampornis clemenciae,Lampornis clemenciae,1BL to 1BT
Lampornis hemileucus,Lampornis hemileucus,1BL to 1BT
Lampornis sybillae,Lampornis sybillae,1BL to 1BT
Lampornis viridipallens,Lampornis viridipallens,1BL to 1BT
Lamprolaima rhami,Lamprolaima rhami,1BL to 1BT
Lamprolia klinesmithi,Lamprolia victoriae,Many BL to 1BT
Lamprolia victoriae,Lamprolia victoriae,Many BL to 1BT
Lampropsar tanagrinus,Lampropsar tanagrinus,1BL to 1BT
Lamprospiza melanoleuca,Lamprospiza melanoleuca,1BL to 1BT
Lamprotornis acuticaudus,Lamprotornis acuticaudus,1BL to 1BT
Lamprotornis albicapillus,Spreo albicapillus,1BL to 1BT
Lamprotornis australis,Lamprotornis australis,1BL to 1BT
Lamprotornis benguelensis,Lamprotornis mevesii,Many BL to 1BT
Lamprotornis bicolor,Spreo bicolor,1BL to 1BT
Lamprotornis caudatus,Lamprotornis caudatus,1BL to 1BT
Lamprotornis chalcurus,Lamprotornis chalcurus,1BL to 1BT
Lamprotornis chalybaeus,Lamprotornis chalybaeus,1BL to 1BT
Apus horus,Apus horus,1BL to many BT
Arachnothera affinis,Arachnothera affinis,1BL to many BT
Lamprotornis fischeri,Spreo fischeri,1BL to 1BT
Lamprotornis hildebrandti,Lamprotornis hildebrandti,1BL to 1BT
Lamprotornis iris,Coccycolius iris,1BL to 1BT
Lamprotornis mevesii,Lamprotornis mevesii,Many BL to 1BT
Lamprotornis nitens,Lamprotornis nitens,1BL to 1BT
Lamprotornis ornatus,Lamprotornis ornatus,1BL to 1BT
Lamprotornis pulcher,Lamprotornis pulcher,1BL to 1BT
Lamprotornis purpureus,Lamprotornis purpureus,1BL to 1BT
Lamprotornis purpuroptera,Lamprotornis purpuroptera,1BL to 1BT
Lamprotornis regius,Cosmopsarus regius,1BL to 1BT
Lamprotornis shelleyi,Lamprotornis shelleyi,1BL to 1BT
Lamprotornis splendidus,Lamprotornis splendidus,1BL to 1BT
Lamprotornis superbus,Lamprotornis superbus,1BL to 1BT
Lamprotornis unicolor,Cosmopsarus unicolor,1BL to 1BT
Lamprotornis violacior,Lamprotornis mevesii,Many BL to 1BT
Laniarius aethiopicus,Laniarius aethiopicus,Many BL to 1BT
Laniarius amboimensis,Laniarius amboimensis,1BL to 1BT
Laniarius atrococcineus,Laniarius atrococcineus,1BL to 1BT
Laniarius atroflavus,Laniarius atroflavus,1BL to 1BT
Laniarius barbarus,Laniarius barbarus,1BL to 1BT
Laniarius bicolor,Laniarius bicolor,1BL to 1BT
Laniarius brauni,Laniarius brauni,1BL to 1BT
Laniarius erythrogaster,Laniarius erythrogaster,1BL to 1BT
Laniarius ferrugineus,Laniarius ferrugineus,1BL to 1BT
Laniarius fuelleborni,Laniarius fuelleborni,1BL to 1BT
Laniarius funebris,Laniarius funebris,1BL to 1BT
Laniarius holomelas,Laniarius poensis,Many BL to 1BT
Laniarius leucorhynchus,Laniarius leucorhynchus,1BL to 1BT
Laniarius luehderi,Laniarius luehderi,1BL to 1BT
Laniarius mufumbiri,Laniarius mufumbiri,1BL to 1BT
Laniarius nigerrimus,Laniarius aethiopicus,Many BL to 1BT
Laniarius poensis,Laniarius poensis,Many BL to 1BT
Laniarius ruficeps,Laniarius ruficeps,1BL to 1BT
Laniarius sublacteus,Laniarius aethiopicus,Many BL to 1BT
Laniarius turatii,Laniarius turatii,1BL to 1BT
Laniellus albonotatus,Crocias albonotatus,1BL to 1BT
Laniellus langbianis,Crocias langbianis,1BL to 1BT
Laniisoma buckleyi,Laniisoma buckleyi,1BL to 1BT
Laniisoma elegans,Laniisoma elegans,1BL to 1BT
Lanio aurantius,Lanio aurantius,1BL to 1BT
Lanio fulvus,Lanio fulvus,1BL to 1BT
Lanio leucothorax,Lanio leucothorax,1BL to 1BT
Lanio versicolor,Lanio versicolor,1BL to 1BT
Laniocera hypopyrra,Laniocera hypopyrra,1BL to 1BT
Laniocera rufescens,Laniocera rufescens,1BL to 1BT
Lanioturdus torquatus,Lanioturdus torquatus,1BL to 1BT
Lanius borealis,Lanius excubitor,Many BL to 1BT
Lanius bucephalus,Lanius bucephalus,1BL to 1BT
Lanius cabanisi,Lanius cabanisi,1BL to 1BT
Asthenes wyatti,Asthenes wyatti,1BL to many BT
Batrachostomus javensis,Batrachostomus javensis,1BL to many BT
Lanius collurio,Lanius collurio,1BL to 1BT
Lanius collurioides,Lanius collurioides,1BL to 1BT
Lanius cristatus,Lanius cristatus,1BL to 1BT
Lanius dorsalis,Lanius dorsalis,1BL to 1BT
Lanius excubitor,Lanius excubitor,Many BL to 1BT
Lanius excubitoroides,Lanius excubitoroides,1BL to 1BT
Lanius giganteus,Lanius sphenocercus,Many BL to 1BT
Lanius gubernator,Lanius gubernator,1BL to 1BT
Lanius isabellinus,Lanius isabellinus,Many BL to 1BT
Lanius ludovicianus,Lanius ludovicianus,1BL to 1BT
Lanius mackinnoni,Lanius mackinnoni,1BL to 1BT
Lanius meridionalis,Lanius meridionalis,1BL to 1BT
Lanius minor,Lanius minor,1BL to 1BT
Lanius newtoni,Lanius newtoni,1BL to 1BT
Lanius nubicus,Lanius nubicus,1BL to 1BT
Lanius phoenicuroides,Lanius isabellinus,Many BL to 1BT
Lanius schach,Lanius schach,1BL to 1BT
Lanius senator,Lanius senator,1BL to 1BT
Lanius somalicus,Lanius somalicus,1BL to 1BT
Lanius souzae,Lanius souzae,1BL to 1BT
Lanius sphenocercus,Lanius sphenocercus,Many BL to 1BT
Lanius tephronotus,Lanius tephronotus,1BL to 1BT
Lanius tigrinus,Lanius tigrinus,1BL to 1BT
Lanius validirostris,Lanius validirostris,1BL to 1BT
Lanius vittatus,Lanius vittatus,1BL to 1BT
Larosterna inca,Larosterna inca,1BL to 1BT
Larus argentatus,Larus argentatus,Many BL to 1BT
Larus armenicus,Larus armenicus,1BL to 1BT
Larus atlanticus,Larus atlanticus,1BL to 1BT
Larus atricilla,Larus atricilla,1BL to 1BT
Larus audouinii,Larus audouinii,1BL to 1BT
Larus belcheri,Larus belcheri,1BL to 1BT
Larus brunnicephalus,Larus brunnicephalus,1BL to 1BT
Larus bulleri,Larus bulleri,1BL to 1BT
Larus cachinnans,Larus cachinnans,1BL to 1BT
Larus californicus,Larus californicus,1BL to 1BT
Larus canus,Larus canus,1BL to 1BT
Larus cirrocephalus,Larus cirrocephalus,1BL to 1BT
Larus crassirostris,Larus crassirostris,1BL to 1BT
Larus delawarensis,Larus delawarensis,1BL to 1BT
Larus dominicanus,Larus dominicanus,1BL to 1BT
Larus fuliginosus,Larus fuliginosus,1BL to 1BT
Larus fuscus,Larus fuscus,1BL to 1BT
Larus genei,Larus genei,1BL to 1BT
Larus glaucescens,Larus glaucescens,1BL to 1BT
Locustella montis,Bradypterus montis,1BL to many BT
Bubo poensis,Bubo poensis,1BL to many BT
Larus hartlaubii,Larus hartlaubii,1BL to 1BT
Larus heermanni,Larus heermanni,1BL to 1BT
Larus hemprichii,Larus hemprichii,1BL to 1BT
Larus hyperboreus,Larus hyperboreus,1BL to 1BT
Larus ichthyaetus,Larus ichthyaetus,1BL to 1BT
Larus leucophthalmus,Larus leucophthalmus,1BL to 1BT
Larus livens,Larus livens,1BL to 1BT
Larus maculipennis,Larus maculipennis,1BL to 1BT
Larus marinus,Larus marinus,1BL to 1BT
Larus melanocephalus,Larus melanocephalus,1BL to 1BT
Larus michahellis,Larus michahellis,1BL to 1BT
Larus modestus,Larus modestus,1BL to 1BT
Buteo augur,Buteo augur,1BL to many BT
Butorides striata,Butorides striata,1BL to many BT
Larus occidentalis,Larus occidentalis,1BL to 1BT
Larus pacificus,Larus pacificus,1BL to 1BT
Larus philadelphia,Larus philadelphia,1BL to 1BT
Larus pipixcan,Larus pipixcan,1BL to 1BT
Larus relictus,Larus relictus,1BL to 1BT
Larus ridibundus,Larus ridibundus,1BL to 1BT
Larus schistisagus,Larus schistisagus,1BL to 1BT
Larus scoresbii,Leucophaeus scoresbii,1BL to 1BT
Larus serranus,Larus serranus,1BL to 1BT
Larus smithsonianus,Larus argentatus,Many BL to 1BT
Larvivora akahige,Erithacus akahige,Many BL to 1BT
Larvivora brunnea,Luscinia brunnea,1BL to 1BT
Larvivora cyane,Luscinia cyane,1BL to 1BT
Larvivora komadori,Erithacus komadori,Many BL to 1BT
Larvivora namiyei,Erithacus komadori,Many BL to 1BT
Larvivora ruficeps,Luscinia ruficeps,1BL to 1BT
Larvivora sibilans,Luscinia sibilans,1BL to 1BT
Larvivora tanensis,Erithacus akahige,Many BL to 1BT
Laterallus albigularis,Laterallus albigularis,1BL to 1BT
Laterallus exilis,Laterallus exilis,1BL to 1BT
Laterallus flaviventer,Porzana flaviventer,1BL to 1BT
Laterallus jamaicensis,Laterallus jamaicensis,1BL to 1BT
Laterallus leucopyrrhus,Laterallus leucopyrrhus,1BL to 1BT
Laterallus levraudi,Laterallus levraudi,1BL to 1BT
Laterallus melanophaius,Laterallus melanophaius,1BL to 1BT
Laterallus podarces,NA ,Extinct
Laterallus rogersi,Atlantisia rogersi,1BL to 1BT
Laterallus ruber,Laterallus ruber,1BL to 1BT
Laterallus spilonota,Laterallus spilonotus,1BL to 1BT
Laterallus spilopterus,Porzana spiloptera,1BL to 1BT
Laterallus tuerosi,Laterallus tuerosi,1BL to 1BT
Laterallus xenopterus,Laterallus xenopterus,1BL to 1BT
Lathamus discolor,Lathamus discolor,1BL to 1BT
Lathrotriccus euleri,Lathrotriccus euleri,1BL to 1BT
Lathrotriccus griseipectus,Lathrotriccus griseipectus,1BL to 1BT
Laticilla burnesii,Prinia burnesii,Many BL to 1BT
Laticilla cinerascens,Prinia burnesii,Many BL to 1BT
Legatus leucophaius,Legatus leucophaius,1BL to 1BT
Leiopicus auriceps,Dendrocopos auriceps,1BL to 1BT
Leiopicus mahrattensis,Dendrocopos mahrattensis,1BL to 1BT
Leiopicus medius,Dendrocopos medius,1BL to 1BT
Leioptila annectens,Heterophasia annectens,1BL to 1BT
Leiothlypis celata,Vermivora celata,1BL to 1BT
Leiothlypis crissalis,Vermivora crissalis,1BL to 1BT
Leiothlypis luciae,Vermivora luciae,1BL to 1BT
Leiothlypis peregrina,Vermivora peregrina,1BL to 1BT
Leiothlypis ruficapilla,Vermivora ruficapilla,1BL to 1BT
Leiothlypis virginiae,Vermivora virginiae,1BL to 1BT
Leiothrix argentauris,Leiothrix argentauris,Many BL to 1BT
Leiothrix laurinae,Leiothrix argentauris,Many BL to 1BT
Leiothrix lutea,Leiothrix lutea,1BL to 1BT
Leipoa ocellata,Leipoa ocellata,1BL to 1BT
Leistes bellicosus,Sturnella bellicosa,1BL to 1BT
Leistes defilippii,Sturnella defilippii,1BL to 1BT
Leistes loyca,Sturnella loyca,1BL to 1BT
Leistes militaris,Sturnella militaris,1BL to 1BT
Leistes superciliaris,Sturnella superciliaris,1BL to 1BT
Leonardina woodi,Leonardina woodi,1BL to 1BT
Lepidocolaptes affinis,Lepidocolaptes affinis,Many BL to 1BT
Lepidocolaptes albolineatus,Lepidocolaptes albolineatus,Many BL to 1BT
Lepidocolaptes angustirostris,Lepidocolaptes angustirostris,1BL to 1BT
Lepidocolaptes duidae,Lepidocolaptes albolineatus,Many BL to 1BT
Lepidocolaptes falcinellus,Lepidocolaptes falcinellus,1BL to 1BT
Lepidocolaptes fatimalimae,Lepidocolaptes albolineatus,Many BL to 1BT
Lepidocolaptes fuscicapillus,Lepidocolaptes albolineatus,Many BL to 1BT
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger,1BL to 1BT
Lepidocolaptes leucogaster,Lepidocolaptes leucogaster,1BL to 1BT
Lepidocolaptes neglectus,Lepidocolaptes affinis,Many BL to 1BT
Lepidocolaptes souleyetii,Lepidocolaptes souleyetii,1BL to 1BT
Lepidocolaptes squamatus,Lepidocolaptes squamatus,1BL to 1BT
Lepidogrammus cumingi,Phaenicophaeus cumingi,1BL to 1BT
Lepidopygia nana,Lonchura nana,1BL to 1BT
Lepidothrix coeruleocapilla,Lepidothrix coeruleocapilla,1BL to 1BT
Lepidothrix coronata,Lepidothrix coronata,1BL to 1BT
Lepidothrix iris,Lepidothrix iris,1BL to 1BT
Lepidothrix isidorei,Lepidothrix isidorei,1BL to 1BT
Lepidothrix nattereri,Lepidothrix nattereri,1BL to 1BT
Lepidothrix serena,Lepidothrix serena,1BL to 1BT
Lepidothrix suavissima,Lepidothrix suavissima,1BL to 1BT
Lepidothrix vilasboasi,Lepidothrix vilasboasi,1BL to 1BT
Leptasthenura aegithaloides,Leptasthenura aegithaloides,Many BL to 1BT
Leptasthenura andicola,Leptasthenura andicola,1BL to 1BT
Leptasthenura berlepschi,Leptasthenura aegithaloides,Many BL to 1BT
Leptasthenura fuliginiceps,Leptasthenura fuliginiceps,1BL to 1BT
Leptasthenura pallida,Leptasthenura aegithaloides,Many BL to 1BT
Leptasthenura pileata,Leptasthenura pileata,1BL to 1BT
Leptasthenura platensis,Leptasthenura platensis,1BL to 1BT
Leptasthenura setaria,Leptasthenura setaria,1BL to 1BT
Leptasthenura striata,Leptasthenura striata,1BL to 1BT
Leptasthenura striolata,Leptasthenura striolata,1BL to 1BT
Leptasthenura xenothorax,Leptasthenura xenothorax,1BL to 1BT
Leptocoma aspasia,Nectarinia aspasia,1BL to 1BT
Leptocoma brasiliana,Nectarinia sperata,Many BL to 1BT
Leptocoma calcostetha,Nectarinia calcostetha,1BL to 1BT
Leptocoma juliae,Nectarinia sperata,Many BL to 1BT
Leptocoma minima,Nectarinia minima,1BL to 1BT
Leptocoma sperata,Nectarinia sperata,Many BL to 1BT
Leptocoma zeylonica,Nectarinia zeylonica,1BL to 1BT
Leptodon cayanensis,Leptodon cayanensis,1BL to 1BT
Leptodon forbesi,Leptodon forbesi,1BL to 1BT
Leptopoecile elegans,Leptopoecile elegans,1BL to 1BT
Leptopoecile sophiae,Leptopoecile sophiae,1BL to 1BT
Leptopogon albidiventer,Leptopogon superciliaris,Many BL to 1BT
Leptopogon amaurocephalus,Leptopogon amaurocephalus,1BL to 1BT
Leptopogon rufipectus,Leptopogon rufipectus,1BL to 1BT
Leptopogon superciliaris,Leptopogon superciliaris,Many BL to 1BT
Leptopogon taczanowskii,Leptopogon taczanowskii,1BL to 1BT
Leptopterus chabert,Leptopterus chabert,1BL to 1BT
Leptoptilos crumenifer,Leptoptilos crumeniferus,1BL to 1BT
Leptoptilos dubius,Leptoptilos dubius,1BL to 1BT
Leptoptilos javanicus,Leptoptilos javanicus,1BL to 1BT
Leptosittaca branickii,Leptosittaca branickii,1BL to 1BT
Leptosomus discolor,Leptosomus discolor,1BL to 1BT
Leptotila battyi,Leptotila battyi,1BL to 1BT
Leptotila cassinii,Leptotila cassini,1BL to 1BT
Leptotila conoveri,Leptotila conoveri,1BL to 1BT
Leptotila jamaicensis,Leptotila jamaicensis,1BL to 1BT
Leptotila megalura,Leptotila megalura,1BL to 1BT
Leptotila ochraceiventris,Leptotila ochraceiventris,1BL to 1BT
Leptotila pallida,Leptotila pallida,1BL to 1BT
Leptotila plumbeiceps,Leptotila plumbeiceps,1BL to 1BT
Leptotila rufaxilla,Leptotila rufaxilla,1BL to 1BT
Leptotila verreauxi,Leptotila verreauxi,1BL to 1BT
Leptotila wellsi,Leptotila wellsi,1BL to 1BT
Leptotrygon veraguensis,Geotrygon veraguensis,1BL to 1BT
Lerwa lerwa,Lerwa lerwa,1BL to 1BT
Lesbia nuna,Lesbia nuna,1BL to 1BT
Lesbia victoriae,Lesbia victoriae,1BL to 1BT
Lessonia oreas,Lessonia oreas,1BL to 1BT
Lessonia rufa,Lessonia rufa,1BL to 1BT
Leucippus baeri,Leucippus baeri,1BL to 1BT
Leucippus chlorocercus,Leucippus chlorocercus,1BL to 1BT
Leucippus fallax,Leucippus fallax,1BL to 1BT
Leucippus taczanowskii,Leucippus taczanowskii,1BL to 1BT
Leucocarbo atriceps,Phalacrocorax atriceps,Many BL to 1BT
Leucocarbo bougainvilliorum,Phalacrocorax bougainvillii,1BL to 1BT
Leucocarbo campbelli,Phalacrocorax campbelli,1BL to 1BT
Leucocarbo carunculatus,Phalacrocorax carunculatus,1BL to 1BT
Leucocarbo chalconotus,Phalacrocorax chalconotus,1BL to 1BT
Leucocarbo colensoi,Phalacrocorax colensoi,1BL to 1BT
Leucocarbo magellanicus,Phalacrocorax magellanicus,1BL to 1BT
Leucocarbo onslowi,Phalacrocorax onslowi,1BL to 1BT
Leucocarbo ranfurlyi,Phalacrocorax ranfurlyi,1BL to 1BT
Leucocarbo verrucosus,Phalacrocorax atriceps,Many BL to 1BT
Leucochloris albicollis,Leucochloris albicollis,1BL to 1BT
Leucogeranus leucogeranus,Grus leucogeranus,1BL to 1BT
Leuconotopicus albolarvatus,Picoides albolarvatus,1BL to 1BT
Leuconotopicus arizonae,Picoides arizonae,1BL to 1BT
Leuconotopicus borealis,Picoides borealis,1BL to 1BT
Leuconotopicus fumigatus,Picoides fumigatus,1BL to 1BT
Leuconotopicus stricklandi,Picoides stricklandi,1BL to 1BT
Leuconotopicus villosus,Picoides villosus,1BL to 1BT
Leucopeza semperi,Leucopeza semperi,1BL to 1BT
Leucopsar rothschildi,Leucopsar rothschildi,1BL to 1BT
Leucopternis kuhli,Leucopternis kuhli,1BL to 1BT
Leucopternis melanops,Leucopternis melanops,1BL to 1BT
Leucopternis semiplumbeus,Leucopternis semiplumbeus,1BL to 1BT
Leucosarcia melanoleuca,Leucosarcia melanoleuca,1BL to 1BT
Leucosticte arctoa,Leucosticte arctoa,1BL to 1BT
Leucosticte atrata,Leucosticte atrata,1BL to 1BT
Leucosticte australis,Leucosticte australis,1BL to 1BT
Leucosticte brandti,Leucosticte brandti,1BL to 1BT
Leucosticte nemoricola,Leucosticte nemoricola,1BL to 1BT
Leucosticte tephrocotis,Leucosticte tephrocotis,1BL to 1BT
Lewinia mirifica,Lewinia mirifica,1BL to 1BT
Lewinia muelleri,Lewinia muelleri,1BL to 1BT
Lewinia pectoralis,Lewinia pectoralis,1BL to 1BT
Lewinia striata,Gallirallus striatus,1BL to 1BT
Lichenostomus cratitius,Lichenostomus cratitius,1BL to 1BT
Lichenostomus melanops,Lichenostomus melanops,1BL to 1BT
Lichmera alboauricularis,Lichmera alboauricularis,1BL to 1BT
Lichmera argentauris,Lichmera argentauris,1BL to 1BT
Lichmera deningeri,Lichmera deningeri,1BL to 1BT
Lichmera flavicans,Lichmera flavicans,1BL to 1BT
Lichmera incana,Lichmera incana,1BL to 1BT
Cacomantis variolosus,Cacomantis variolosus,1BL to many BT
Alaudala rufescens,Calandrella rufescens,1BL to many BT
Lichmera lombokia,Lichmera lombokia,1BL to 1BT
Lichmera monticola,Lichmera monticola,1BL to 1BT
Lichmera notabilis,Lichmera notabilis,1BL to 1BT
Lichmera squamata,Lichmera squamata,1BL to 1BT
Limnoctites rectirostris,Limnoctites rectirostris,1BL to 1BT
Limnodromus griseus,Limnodromus griseus,1BL to 1BT
Limnodromus scolopaceus,Limnodromus scolopaceus,1BL to 1BT
Limnodromus semipalmatus,Limnodromus semipalmatus,1BL to 1BT
Limnornis curvirostris,Limnornis curvirostris,1BL to 1BT
Limnothlypis swainsonii,Limnothlypis swainsonii,1BL to 1BT
Limosa fedoa,Limosa fedoa,1BL to 1BT
Limosa haemastica,Limosa haemastica,1BL to 1BT
Limosa lapponica,Limosa lapponica,1BL to 1BT
Limosa limosa,Limosa limosa,1BL to 1BT
Linaria cannabina,Carduelis cannabina,1BL to 1BT
Linaria flavirostris,Carduelis flavirostris,1BL to 1BT
Linaria johannis,Carduelis johannis,1BL to 1BT
Linaria yemenensis,Carduelis yemenensis,1BL to 1BT
Linurgus olivaceus,Linurgus olivaceus,1BL to 1BT
Liocichla bugunorum,Liocichla bugunorum,1BL to 1BT
Liocichla omeiensis,Liocichla omeiensis,1BL to 1BT
Liocichla phoenicea,Liocichla phoenicea,Many BL to 1BT
Liocichla ripponi,Liocichla phoenicea,Many BL to 1BT
Liocichla steerii,Liocichla steerii,1BL to 1BT
Lioparus chrysotis,Alcippe chrysotis,1BL to 1BT
Liosceles thoracicus,Liosceles thoracicus,1BL to 1BT
Lipaugus ater,Tijuca atra,1BL to 1BT
Lipaugus conditus,Tijuca condita,1BL to 1BT
Lipaugus fuscocinereus,Lipaugus fuscocinereus,1BL to 1BT
Lipaugus lanioides,Lipaugus lanioides,1BL to 1BT
Lipaugus streptophorus,Lipaugus streptophorus,1BL to 1BT
Lipaugus unirufus,Lipaugus unirufus,1BL to 1BT
Lipaugus uropygialis,Lipaugus uropygialis,1BL to 1BT
Lipaugus vociferans,Lipaugus vociferans,1BL to 1BT
Lipaugus weberi,Lipaugus weberi,1BL to 1BT
Lissotis hartlaubii,Eupodotis hartlaubii,1BL to 1BT
Lissotis melanogaster,Eupodotis melanogaster,1BL to 1BT
Loboparadisea sericea,Loboparadisea sericea,1BL to 1BT
Lobotos lobatus,Campephaga lobata,1BL to 1BT
Lobotos oriolinus,Campephaga oriolina,1BL to 1BT
Lochmias nematura,Lochmias nematura,1BL to 1BT
Locustella accentor,Bradypterus accentor,1BL to 1BT
Locustella alishanensis,Bradypterus alishanensis,1BL to 1BT
Locustella amnicola,Locustella fasciolata,Many BL to 1BT
Locustella castanea,Bradypterus castaneus,1BL to 1BT
Locustella caudata,Bradypterus caudatus,1BL to 1BT
Locustella certhiola,Locustella certhiola,1BL to 1BT
Locustella chengi,NA ,Newly described species
Locustella davidi,Bradypterus davidi,1BL to 1BT
Locustella fasciolata,Locustella fasciolata,Many BL to 1BT
Locustella fluviatilis,Locustella fluviatilis,1BL to 1BT
Locustella kashmirensis,Bradypterus thoracicus,Many BL to 1BT
Locustella lanceolata,Locustella lanceolata,1BL to 1BT
Locustella luscinioides,Locustella luscinioides,1BL to 1BT
Locustella luteoventris,Bradypterus luteoventris,1BL to 1BT
Locustella major,Bradypterus major,1BL to 1BT
Locustella mandelli,Bradypterus mandelli,1BL to 1BT
Caprimulgus pectoralis,Caprimulgus pectoralis,1BL to many BT
Caprimulgus poliocephalus,Caprimulgus poliocephalus,1BL to many BT
Locustella naevia,Locustella naevia,1BL to 1BT
Locustella ochotensis,Locustella ochotensis,1BL to 1BT
Locustella pleskei,Locustella pleskei,1BL to 1BT
Locustella portenta,NA ,Newly described species
Locustella pryeri,Locustella pryeri,1BL to 1BT
Locustella seebohmi,Bradypterus seebohmi,1BL to 1BT
Locustella tacsanowskia,Bradypterus tacsanowskius,1BL to 1BT
Locustella thoracica,Bradypterus thoracicus,Many BL to 1BT
Loddigesia mirabilis,Loddigesia mirabilis,1BL to 1BT
Lonchura atricapilla,Lonchura atricapilla,1BL to 1BT
Lonchura caniceps,Lonchura caniceps,1BL to 1BT
Lonchura castaneothorax,Lonchura castaneothorax,1BL to 1BT
Lonchura ferruginosa,Lonchura ferruginosa,1BL to 1BT
Lonchura flaviprymna,Lonchura flaviprymna,1BL to 1BT
Lonchura forbesi,Lonchura forbesi,1BL to 1BT
